Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Subperiods,Hours_per_period,Sub_Weights
,,,,159,1430.046865,10179.550881999998,3842.568072,8354.129029131891,3409.836319582261,6305.948761285855,0.0,,,
,,,,160,1421.234277,10034.695381,3773.6519399999997,8304.820746499541,3389.7105623202283,6268.729381180239,0.0,,,
,,,,161,1410.304188,9866.556987000002,3724.293201,8245.106895939487,3365.337649750679,6223.655564309843,0.0,,,
,,,,162,1394.6401210000001,9789.107175,3717.083569,8209.878647004773,3350.958824349013,6197.064218646221,0.0,,,
,,,,163,1456.5121689999999,10090.785444,3811.711578,8338.733123705115,3403.5522991518856,6294.327467143006,0.0,,,
,,,,164,1569.4321080000002,10882.004659,4064.729962,8731.293011539457,3563.7802485264924,6590.643519934057,0.0,,,
,,,,165,1584.5666969999993,11004.899217000002,4145.980473,9043.204643893012,3691.0906609932563,6826.083835113738,0.0,,,
,,,,166,1538.334791,10699.809068999999,4022.5580700000014,8943.065747511606,3650.2177890644757,6750.4959734239255,0.0,,,
,,,,167,1482.480195,10345.619606999999,3892.9680329999997,8757.62002082252,3574.5259279535553,6610.515941223931,0.0,,,
,,,,168,1394.738876,9894.970654,3722.235732,8475.272672812203,3459.282526920837,6397.3916402669665,0.0,,,
,,,,169,1088.638357,7887.082448999998,2878.841851,6572.973115778016,2682.836520678764,4961.478513543226,0.0,,,
,,,,170,1008.588074,7226.6292010000025,2619.653844,6146.8518737683125,2508.910108663415,4639.829337568276,0.0,,,
,,,,171,947.0415230000001,6692.051750999999,2402.629202,5849.036220617641,2387.3531364031,4415.029092979263,0.0,,,
,,,,172,912.394901,6366.184815,2262.759358,5639.446622649893,2301.806669396792,4256.824537953321,0.0,,,
,,,,173,899.255136,6174.062260999999,2183.556624,5520.535728808361,2253.2717852453816,4167.067005946262,0.0,,,
,,,,174,904.234501,6086.684557,2144.469445,5472.204953266741,2233.5450090343948,4130.585477698867,0.0,,,
,,,,175,925.304133,6087.976424,2141.387848,5520.917542521363,2253.427627016724,4167.3552104619175,0.0,,,
,,,,176,962.6997660000001,6218.395953,2188.700545,5619.0146236598475,2293.467107966153,4241.401848374004,0.0,,,
,,,,177,1019.077716,6390.127486,2247.326749,5798.132911268564,2366.5763501695924,4376.605738561847,0.0,,,
,,,,178,1106.1692159999998,6864.470745999999,2421.1464869999995,6208.963675889068,2534.2617734518703,4686.713200659066,0.0,,,
,,,,179,1203.0830059999996,7506.051677999999,2686.506694,6624.934607505306,2704.045216533657,5000.700615961042,0.0,,,
,,,,180,1247.969815,8010.0117230000005,2893.237932,6930.242364247584,2828.660179261637,5231.156126490784,0.0,,,
,,,,181,1257.204652,8294.647214999999,3014.606513,7144.867006306379,2916.2617589137376,5393.161284779886,0.0,,,
,,,,182,1254.223075,8448.786546000001,3082.4913639999995,7257.954411155601,2962.4197173313664,5478.523071513036,0.0,,,
,,,,183,1233.355008,8491.202319,3112.309604,7291.3401243655335,2976.046490039977,5503.723615594494,0.0,,,
,,,,184,1203.87085,8432.477895,3096.889749,7287.778252632921,2974.592670071768,5501.035007295315,0.0,,,
,,,,185,1195.24487,8371.505365,3083.512116,7287.185416408643,2974.350696972948,5500.587516618417,0.0,,,
,,,,186,1198.531207,8394.196718000001,3088.659750000001,7354.565337918041,3001.8526068395754,5551.447915242386,0.0,,,
,,,,187,1216.96993,8524.90202,3144.201719,7458.709394776449,3044.360232267206,5630.058992956351,0.0,,,
,,,,188,1240.970179,8737.900556,3217.2203059999997,7523.174256936907,3070.6723262706714,5678.7190167924255,0.0,,,
,,,,189,1254.027316,8844.058115,3222.3694769999997,7662.4235895511365,3127.5085841462487,5783.828616302624,0.0,,,
,,,,190,1290.911845,9178.547428,3338.591416,7954.4552268100415,3246.704742084446,6004.2629111055185,0.0,,,
,,,,191,1288.089591,9280.849003,3440.41108,7723.332876812308,3152.369428308312,5829.8047848793885,0.0,,,
,,,,192,1195.403516,8762.622236999998,3249.108916000001,7243.417944883073,2956.486487130875,5467.550507986058,0.0,,,
,,,,193,1089.302389,8041.147735,2964.209204,6648.499123885666,2713.663351892465,5018.487824221874,0.0,,,
,,,,194,999.739877,7361.3356,2669.01987,6181.661165995201,2523.117931942215,4666.104442062588,0.0,,,
,,,,195,938.305183,6849.765950000001,2450.977609,5901.259863108601,2408.668832184861,4454.449074706542,0.0,,,
,,,,196,908.189246,6555.205311,2330.633451,5733.235546349144,2340.087725062683,4327.619248588177,0.0,,,
,,,,197,903.4185980000001,6392.421466,2255.55523,5660.8186251242505,2310.529904339074,4272.956770536682,0.0,,,
,,,,198,905.7685449999999,6360.491563000001,2241.1570850000007,5735.710164860696,2341.097769802042,4329.487165337265,0.0,,,
,,,,199,944.4425779999999,6509.608946000001,2300.809678,6101.423184804481,2490.3678533259986,4605.538391869525,0.0,,,
,,,,200,1040.298459,7049.8791150000025,2524.0000670000004,6821.422908644171,2784.244234679052,5149.015916676783,0.0,,,
,,,,201,1141.006303,7811.820560999998,2881.9277289999995,7540.375989676853,3077.693416422844,5691.7034039003065,0.0,,,
,,,,202,1253.0145240000004,8729.013535,3262.481074,8020.1220259268775,3273.5074208362926,6053.830193236837,0.0,,,
,,,,203,1317.753633,9417.533307,3535.036694,8390.283592179785,3424.5932310172475,6333.239316802972,0.0,,,
,,,,204,1337.182825,9942.666261000002,3708.859466,8692.328886528581,3547.876581231012,6561.232222240413,0.0,,,
,,,,205,1334.3633630000004,10337.053739999998,3889.881784,8866.763398107427,3619.074084991849,6692.900656900729,0.0,,,
,,,,206,1336.581505,10618.355568999998,4004.04789,8995.741754138891,3671.718122605163,6790.257413255953,0.0,,,
,,,,207,1328.899877,10774.759256,4069.8764160000014,9151.333833414928,3735.2248653313877,6907.703011253689,0.0,,,
,,,,208,1306.710658,10909.579025,4135.701671000002,9238.800075333003,3770.9252438375843,6973.725170829419,0.0,,,
,,,,209,1307.7359119999999,10951.076294000002,4116.154278,9267.465105302752,3782.625213990297,6995.362400706958,0.0,,,
,,,,210,1302.441247,10957.728431,4101.753114,9261.437551753756,3780.164996900292,6990.812621345961,0.0,,,
,,,,211,1306.526243,10962.322913,4077.074239,9152.916904470141,3735.871014458569,6908.897961071298,0.0,,,
,,,,212,1308.575182,10891.652349999997,4018.448913,8905.309051849172,3634.806948301994,6721.996079848843,0.0,,,
,,,,213,1306.020846,10679.488199999998,3937.196282,8806.204426522947,3594.356226306016,6647.188917171043,0.0,,,
,,,,214,1347.034335,10759.389738,3933.077683,9016.763644358482,3680.298455100277,6806.125370541249,0.0,,,
,,,,215,1350.5234050000001,10867.195392,3987.58742,8651.771278958347,3531.3225152301043,6530.618115811555,0.0,,,
,,,,216,1229.977732,10108.077172,3734.573532,7966.791162503299,3251.739799768644,6013.574447728061,0.0,,,
,,,,217,1099.7734349999996,9082.750570000002,3327.275452,7241.982174420093,2955.9004604781653,5466.466745101747,0.0,,,
,,,,218,999.6415099999999,8095.427835999999,2944.666765,6675.126878620071,2724.5317841234837,5038.58725725645,0.0,,,
,,,,219,945.8017779999999,7430.2737480000005,2670.046058,6325.419114489342,2581.794434578767,4774.617280931897,0.0,,,
